Total saturated fatty acids,Total monounsaturated fatty acids,Total polyunsaturated fatty acids,Energy,Protein,Carbohydrate,Sugars,Dietary Fiber,Total Fat,food type
0.531,0.447,1.168,184,8.92,31.26,3.2,4.4,2.58,3
9.589,3.924,0.568,134,0.16,0.01,0.01,0,15.14,3
0,0,0,40,0,10.06,10.06,0,0,1
2.22,0.106,0.027,24,0.24,0.58,0.35,0.2,2.5,1
0,0,0,3,0.18,0.51,0.05,0.1,0,1
0.004,0.009,0.027,25,0,6.29,5.52,0,0.05,1
0,0,0,0,0,0,0,0,0,1
16.296,7.126,1.085,497,8.4,56.64,50.93,1.7,26.4,8
5.638,0.468,0.102,112,0.47,14.64,13.3,0.9,6.67,8
2.167,0.856,0.148,34,0.27,0.86,0.86,0,3.39,8
3.77,1.227,0.188,109,1.37,13.56,10.22,0.2,5.46,8
0.154,0.154,0.256,184,3.23,44.65,15.23,4.4,0.66,2
5.004,1.851,0.291,161,8.82,12.56,12.94,0,8.61,2
2.708,0.976,0.142,122,8.17,11.98,11.93,0,4.64,1
0,0,0,8,0.07,1.73,1.43,0,0.05,1
0.407,0.706,0.792,53,1.06,8.23,0.04,1.3,2.06,3
5.73,2.525,0.42,99,1.74,1.57,1.07,0,9.76,3
3.532,1.588,0.486,177,4.43,25.76,14.47,0.2,6.22,8
2.427,1.882,2.525,148,1.53,19.61,9.87,0.6,7.42,8
4.819,3.405,2.355,372,35.98,26.37,4.15,2.6,12.9,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
0.006,0.006,0.017,4,0.18,0.78,0.53,0.2,0.04,5
0.497,1.681,1.435,109,2.7,15.91,0.21,2.4,3.8,3
2.155,5.419,2.624,127,4.8,4.76,2.24,1,10.9,3
0.005,0.036,0.002,2,0.29,0,0,0,0.05,1
0,0,0,8,0,2.08,2.08,0,0.01,1
0.092,0.023,0.168,172,0.86,45.57,34.29,7.9,0.56,10
1.077,2.709,1.312,64,2.4,2.38,1.12,0.5,5.45,10
1.866,2.153,4.908,218,3.19,30.42,0.1,2.7,9.33,14
6.814,6.598,13.898,277,1.53,2.85,2.12,0.1,29.01,14
0.056,0.014,0.102,104,0.52,27.62,20.78,4.8,0.34,10
0.4,0.381,0.972,140,20,10.4,8,2.4,2,10
0.677,0.244,0.035,31,2.04,3,2.98,0,1.16,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.141,0.04,0.092,112,1.37,28.78,15.41,3.3,0.42,1
1.091,2.451,3.325,149,2.45,19.36,10.18,0.6,7.22,3
2.118,0.927,0.155,34,0.02,0,0,0,3.65,3
0.004,0.029,0.002,2,0.23,0,0,0,0.04,1
0,0,0,27,0,6.97,6.99,0,0.02,1
1.245,1.679,3.304,145,1.75,18.6,0.14,2,7.02,9
0.001,0.001,0.002,6,0.06,1.55,1.21,0,0.01,9
0.005,0.041,0.003,3,0.32,0,0,0,0.05,1
0,0,0,7,0,1.82,1.61,0,0,1
10.371,4.998,0.845,360,5.47,45.39,37.68,1.5,17.49,8
0,0,0,86,0.48,22.8,22.8,0,0,8
1.215,3.741,0.879,140,2.16,18.23,1.35,1.1,6.33,14
1.501,2.815,4.99,157,1.64,14.99,0.89,0.4,10.08,14
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0.074,0.225,0.004,8,0.04,1.44,1.44,0,0.31,1
0,0,0,15,0.09,3.56,3.23,0,0,1
3.687,1.364,0.214,119,6.5,9.26,9.54,0,6.34,1
1.212,0,0,213,2.43,48.15,43.63,2.4,1.21,1
0.013,0.095,0.006,6,0.76,0,0,0,0.13,1
